game_id,title,franchise,developer,publisher,developer_size,development_years,budget_million_usd,release_date,release_year,genre,age_rating,game_engine,launch_price_usd,current_price_usd,metacritic_score,user_score,steam_rating_percent,copies_sold_million,estimated_revenue_million,peak_players,main_story_hours,completionist_hours,game_size_gb,minimum_ram_gb,recommended_ram_gb,vr_support,ray_tracing,goty_award,award_count,nomination_count,commercial_success
1,Minecraft 1,Minecraft,Andrews-Nelson,"Griffith, James and Turner",Indie,3.3,2.15,1993-08-12,1993,Racing,M,Unreal Engine 5,9.99,9.79,77,7.6,78,1.81,39.98,212212,3.3,13.2,13.1,4,8,0,0,0,0,2,Average
2,Stardew Valley 19,Stardew Valley,"Marsh, Rios and Fox",Moore LLC,AAA,1.1,299.73,1991-06-11,1991,Racing,M,Creation Engine,59.99,40.84,76,7.8,80,33.21,2182.35,5864239,4.5,12.7,60.5,4,8,0,0,0,0,6,Blockbuster
3,Cyberpunk 11,Cyberpunk,Rojas LLC,Rodriguez Inc,Indie,1.6,3.82,2013-01-09,2013,Horror,E,RAGE,19.99,19.61,87,8.4,86,3.21,74.82,721307,5.8,15.8,46.4,8,8,0,0,0,1,1,Average
4,Halo 1,Halo,Brown LLC,Davidson-Thompson,AAA,5.8,189.98,2008-05-11,2008,Simulation,T,Frostbite,59.99,40.96,76,7.3,70,32.3,2027.93,3812514,8.3,50.3,85.9,8,8,0,0,0,0,1,Blockbuster
5,Minecraft 14,Minecraft,"Anthony, Alvarado and Thompson","Williamson, Oconnell and Cruz",AAA,5.3,209.44,1995-02-02,1995,Strategy,E10+,RAGE,59.99,39.93,75,7.4,70,31.02,2109.89,6327175,18.9,78.9,64.8,4,8,0,0,0,0,6,Blockbuster
6,Cyberpunk 13,Cyberpunk,"Davis, Moreno and Robertson",Hicks Ltd,Indie,1.2,3.35,2024-08-09,2024,Racing,E10+,Anvil,14.99,4.99,82,8.1,81,3.81,100.19,605663,4.4,13.4,68.1,8,16,0,0,0,0,7,Average
7,Stardew Valley 8,Stardew Valley,Rodriguez-Jones,Ingram-Todd,AAA,6.3,310.13,2009-04-15,2009,Strategy,T,Frostbite,59.99,58.7,78,7.8,80,37.74,2570.53,4326642,15.8,67.2,89.2,8,8,0,0,0,0,0,Blockbuster
8,Cyberpunk 16,Cyberpunk,Chavez-Garner,Kelly and Sons,AA,2.2,16.1,2002-06-24,2002,Racing,E10+,Creation Engine,39.99,12.24,76,7.6,79,6.88,338.22,1246476,4.6,13.6,38.9,4,8,0,0,0,0,9,Hit
9,Minecraft 13,Minecraft,Miller-Hancock,George PLC,AAA,6.0,307.11,2021-02-01,2021,Adventure,M,Creation Engine,59.99,52.03,81,8.0,77,39.51,2693.18,8208588,9.5,36.8,116.1,16,16,0,1,0,0,4,Blockbuster
10,Cyberpunk 12,Cyberpunk,"Rodriguez, Johnson and House","Dunn, Cannon and Lee",Indie,3.8,4.73,2022-05-08,2022,Sandbox,M,Creation Engine,19.99,4.99,90,8.7,88,4.2,112.46,610937,16.4,187.4,62.4,8,16,0,0,0,2,9,Average
11,The Witcher 19,The Witcher,Cabrera-Rivera,Ward LLC,AA,2.0,23.97,1998-01-08,1998,Simulation,M,Godot,39.99,19.35,63,6.4,58,3.95,230.51,827882,9.1,59.9,38.0,4,8,0,0,0,0,5,Average
12,Stardew Valley 3,Stardew Valley,"Daniels, Cisneros and Reynolds","Harding, Mcknight and Vazquez",AAA,3.7,54.45,2017-02-22,2017,Action,T,Godot,59.99,44.37,98,9.8,93,59.29,4610.55,10746820,11.5,39.9,103.1,16,16,0,0,1,5,12,Legendary
13,Grand Theft Auto 1,Grand Theft Auto,Johnson and Sons,"Harris, Cohen and Martin",AA,3.0,20.26,1997-07-31,1997,Action,E,Unreal Engine 4,29.99,4.99,69,6.7,66,4.29,153.31,826650,13.8,36.1,34.0,4,8,0,0,0,0,4,Average
14,Civilization 13,Civilization,Anthony-Edwards,Clark PLC,Indie,1.6,3.42,2001-10-14,2001,Racing,E,Anvil,19.99,4.99,73,6.9,71,2.0,58.89,243413,4.4,14.1,25.4,4,8,0,0,0,0,2,Average
15,Elden Ring 3,Elden Ring,Morgan Inc,Barton-Rodriguez,AAA,2.2,177.96,1997-12-09,1997,Simulation,M,Unity,59.99,47.43,73,7.2,74,24.65,1920.81,3004063,11.5,47.4,65.6,4,8,0,0,0,0,1,Blockbuster
16,Call of Duty 12,Call of Duty,Jordan-Lopez,Sullivan and Sons,Indie,3.9,1.25,2011-08-14,2011,Action,E10+,Godot,9.99,4.99,82,8.1,82,2.15,52.7,313845,10.3,38.6,39.3,8,8,0,0,0,0,4,Average
17,Terraria 9,Terraria,Simmons-Ellis,Gutierrez-Burton,Indie,3.9,1.3,2010-08-04,2010,Strategy,T,RAGE,9.99,4.99,81,7.9,81,3.52,82.81,739964,18.7,70.3,45.7,8,8,0,0,0,0,0,Average
18,Battlefield 3,Battlefield,"Hampton, Crawford and Kelly",Figueroa-Allen,AAA,2.2,263.08,2012-04-08,2012,Horror,T,Frostbite,59.99,36.65,87,8.8,85,47.94,3797.24,8793061,6.1,16.0,97.5,8,8,0,0,0,1,7,Legendary
19,Need for Speed 12,Need for Speed,"Singh, Spence and Bailey",Salazar-Velasquez,AAA,2.5,248.46,1991-03-08,1991,Racing,E,Decima,59.99,52.19,75,7.2,77,19.87,1558.74,4146673,4.3,11.2,57.8,4,8,0,0,0,0,5,Blockbuster
20,Minecraft 5,Minecraft,Evans-Wilson,"May, Lee and Haney",AA,1.0,8.27,2008-07-17,2008,Racing,E10+,Godot,39.99,12.52,72,6.9,72,7.12,412.36,858366,4.6,11.4,53.3,8,8,0,0,0,0,4,Hit
21,The Witcher 20,The Witcher,Clayton-Medina,"Steele, Wright and Mitchell",AAA,5.7,310.85,2016-10-07,2016,FPS,T,Unreal Engine 4,59.99,40.02,92,9.0,90,54.77,4099.4,7623228,7.1,18.5,108.4,16,16,0,0,0,3,10,Legendary
22,Civilization 18,Civilization,Meadows-Taylor,Oconnor-Johnson,Indie,1.2,4.04,1992-07-05,1992,Strategy,E10+,Unreal Engine 5,14.99,4.99,75,7.1,77,2.14,73.53,462449,19.4,67.4,8.0,4,8,0,0,0,0,0,Average
23,Resident Evil 3,Resident Evil,Wright LLC,Ramirez Inc,Indie,1.6,3.63,1999-01-23,1999,Horror,E10+,Decima,14.99,5.93,79,7.8,81,2.86,98.75,444719,5.4,15.3,23.4,4,8,0,0,0,0,2,Average
24,Diablo 8,Diablo,Harris Inc,West-Hebert,AAA,5.8,305.01,2024-11-16,2024,Horror,M,Unreal Engine 4,69.99,58.84,82,7.8,83,40.73,3623.9,6102044,6.6,17.3,119.8,16,16,0,1,0,0,9,Legendary
25,Final Fantasy 17,Final Fantasy,"Harris, Mcdonald and Torres","Fields, Bryan and Carr",Indie,3.1,2.0,2011-12-14,2011,Sports,M,Creation Engine,9.99,4.99,72,6.9,76,2.11,34.09,423022,2.0,8.0,42.0,8,8,0,0,0,0,9,Average
26,Minecraft 13,Minecraft,Johnson Inc,"Saunders, Edwards and Ryan",Indie,3.3,2.51,2016-04-01,2016,Racing,E10+,Creation Engine,14.99,4.99,84,8.7,80,4.01,78.26,792517,4.0,13.2,55.7,8,8,0,0,0,0,7,Average
27,Elden Ring 15,Elden Ring,Simmons-Navarro,"Hudson, Elliott and Frost",AA,1.0,27.35,1999-08-26,1999,Racing,E,RAGE,29.99,19.04,62,6.2,59,4.1,194.98,908047,4.1,13.2,40.9,4,8,0,0,0,0,8,Average
28,Final Fantasy 9,Final Fantasy,Lambert Group,Ballard-Wood,AAA,4.3,79.27,2020-07-01,2020,Sandbox,E,RAGE,59.99,53.82,93,9.3,87,55.38,3447.21,6599751,17.0,211.0,116.4,16,16,0,1,0,3,11,Legendary
29,Need for Speed 3,Need for Speed,Anderson-Carney,"Phillips, Burgess and Sims",AAA,1.7,148.22,2016-12-20,2016,Strategy,E10+,Godot,59.99,57.52,82,8.2,77,31.47,2482.3,4898939,19.0,82.4,99.9,16,16,0,0,0,0,6,Blockbuster
30,Grand Theft Auto 15,Grand Theft Auto,Stark LLC,"Hill, Jones and Long",AA,2.5,15.47,2018-07-20,2018,Action,E,Godot,39.99,15.87,89,8.8,88,9.99,479.38,1891620,10.3,37.9,69.4,16,16,0,0,0,2,10,Hit
31,Diablo 15,Diablo,Lewis Ltd,Ayers-Johnson,AA,2.3,16.56,1992-05-18,1992,Sandbox,T,Unreal Engine 5,29.99,10.45,59,6.2,60,3.16,145.96,704659,23.3,216.6,25.8,4,8,0,0,0,0,5,Average
32,Minecraft 17,Minecraft,Davis and Sons,Melendez PLC,AA,3.7,13.16,2014-05-02,2014,Sandbox,M,Unreal Engine 5,49.99,32.49,76,7.8,78,7.42,466.89,835353,19.7,218.0,68.7,8,8,0,0,0,0,2,Hit
33,Call of Duty 10,Call of Duty,Perkins Group,Hall-Nelson,AAA,4.7,287.5,2000-04-08,2000,Adventure,E,Unity,59.99,55.24,74,7.2,73,30.92,2081.86,5556880,11.2,39.9,76.5,4,8,0,0,0,0,1,Blockbuster
34,Final Fantasy 8,Final Fantasy,Aguilar Group,Johnson-Wright,Indie,1.9,0.6,2005-12-11,2005,Action,M,Unity,9.99,4.99,76,7.3,76,2.55,60.61,560617,12.6,34.8,31.6,8,8,0,0,0,0,6,Average
35,Resident Evil 4,Resident Evil,"Moore, Good and Butler",Stevens-Sandoval,Indie,2.9,1.3,2000-06-03,2000,Sandbox,E,Anvil,14.99,4.99,51,5.2,55,0.71,15.03,153435,19.2,213.2,27.9,4,8,0,0,0,0,3,Flop
36,Stardew Valley 10,Stardew Valley,Wells Inc,"Lewis, Powell and Padilla",AAA,1.4,113.18,2017-09-07,2017,RPG,M,RAGE,59.99,44.85,85,8.2,85,26.02,1946.34,4432367,29.3,144.9,101.6,16,16,0,0,0,1,1,Blockbuster
37,Need for Speed 9,Need for Speed,"Booth, Pugh and Aguilar",Harrison-Scott,Indie,2.6,2.32,1999-10-21,1999,Racing,E,Unreal Engine 4,19.99,4.99,68,6.8,67,2.04,53.33,305800,3.9,12.2,20.1,4,8,0,0,0,0,2,Average
38,Cyberpunk 12,Cyberpunk,Moss Ltd,Velasquez-Yu,AAA,4.2,274.3,2005-07-22,2005,FPS,M,Unreal Engine 4,59.99,38.78,90,9.3,87,55.29,3797.55,12332479,5.3,19.4,80.8,8,8,0,0,0,2,4,Legendary
39,Minecraft 6,Minecraft,Cox-Porter,"Chase, Gonzalez and Andrews",AAA,4.2,41.16,2012-05-03,2012,Simulation,E10+,RE Engine,59.99,36.49,76,7.7,78,23.22,1775.2,3760003,9.5,51.3,93.6,8,8,0,0,0,0,10,Blockbuster
40,Terraria 16,Terraria,Barrett LLC,Harris Inc,Indie,1.1,3.75,2010-11-14,2010,FPS,E10+,Unity,19.99,6.06,78,8.1,78,3.26,87.99,431911,6.0,16.4,44.4,8,8,0,0,0,0,9,Average
41,Halo 17,Halo,Sanchez-Griffin,Thornton-Ellis,AAA,2.3,60.44,2013-11-15,2013,FPS,E10+,Unreal Engine 4,59.99,40.08,76,7.6,78,30.2,1976.31,6366305,6.3,17.8,102.2,8,8,0,0,0,0,7,Blockbuster
42,Grand Theft Auto 12,Grand Theft Auto,"Terrell, Price and Atkinson","Powell, Lewis and Brooks",AA,3.3,9.42,2008-11-10,2008,FPS,E,Decima,39.99,28.27,78,8.2,77,5.51,274.81,1012117,5.2,17.3,50.0,8,8,0,0,0,0,4,Hit
43,Diablo 16,Diablo,Roberts Ltd,"Simpson, Lee and King",AA,1.2,12.09,2016-09-25,2016,Sports,E10+,Unity,49.99,30.8,90,9.2,84,11.37,695.37,2103357,1.9,8.4,67.8,16,16,0,0,0,2,5,Hit
44,Halo 1,Halo,Blackburn LLC,Hunt Inc,Indie,3.2,3.32,2003-02-02,2003,Adventure,E10+,Unity,24.99,17.58,69,6.7,70,2.21,80.09,322565,8.8,40.7,27.6,4,8,0,0,0,0,8,Average
45,Minecraft 14,Minecraft,"Hebert, Mcintyre and Nelson",Boyd Ltd,AAA,3.0,335.32,1994-11-24,1994,Horror,M,Unreal Engine 5,59.99,59.44,79,7.6,73,31.79,2304.82,5722020,6.5,15.3,66.7,4,8,0,0,0,0,2,Blockbuster
46,Final Fantasy 6,Final Fantasy,Hunter-Blackwell,Cook LLC,Indie,3.2,1.11,1996-09-11,1996,FPS,E10+,Unreal Engine 5,9.99,4.99,79,7.7,80,1.85,29.42,208359,6.6,20.8,14.4,4,8,0,0,0,0,10,Average
47,Need for Speed 12,Need for Speed,Lee-Russell,Simpson Ltd,AAA,6.8,212.29,1994-07-05,1994,FPS,E,Godot,59.99,44.57,75,7.2,73,23.15,1535.98,2469948,5.0,20.2,59.2,4,8,0,0,0,0,4,Blockbuster
48,Call of Duty 4,Call of Duty,"Leon, Baker and Tucker","Olson, Warren and Jackson",AAA,6.4,303.82,1995-02-21,1995,Horror,M,Godot,59.99,44.29,81,8.4,83,32.07,2010.37,6127997,4.8,16.0,69.6,4,8,0,0,0,0,10,Blockbuster
49,Assassin's Creed 9,Assassin's Creed,"Crawford, Johnson and Williams","Ward, Wise and Serrano",AAA,1.5,305.72,2003-09-14,2003,Adventure,M,Anvil,59.99,49.83,70,7.1,66,15.31,1207.7,2461092,8.6,47.9,80.3,4,8,0,0,0,0,9,Blockbuster
50,Elden Ring 3,Elden Ring,"Jones, Brown and Grant",Smith-Williams,AAA,3.8,140.82,2024-02-17,2024,Sandbox,E10+,Anvil,69.99,58.14,85,8.5,85,30.91,2349.97,4393459,20.3,234.8,120.3,16,16,0,1,0,1,5,Blockbuster
51,Forza 3,Forza,Horton-Chapman,Hardin-Collins,AA,2.8,23.47,2025-02-20,2025,Sandbox,T,RAGE,49.99,45.88,92,9.1,96,16.0,1079.8,2519084,16.6,234.9,83.0,16,16,0,0,0,3,3,Blockbuster
52,Halo 6,Halo,"Gay, Carson and Stevenson","Manning, Edwards and Thompson",AA,3.6,27.08,2023-09-20,2023,Strategy,T,Unity,39.99,30.58,91,9.4,89,13.21,605.89,1515328,17.0,67.9,77.2,16,16,0,0,0,3,10,Hit
53,Forza 1,Forza,Holland Group,Krause-Buchanan,Indie,2.1,3.16,2000-01-21,2000,Action,E10+,Frostbite,9.99,4.99,60,5.8,64,1.43,42.33,292635,12.4,33.5,27.7,4,8,0,0,0,0,7,Average
54,Stardew Valley 17,Stardew Valley,Johnson Ltd,Miller Group,AAA,2.1,338.41,2000-07-02,2000,Action,M,Anvil,59.99,57.17,83,8.3,86,45.13,2994.36,6134574,13.9,35.5,80.4,4,8,0,0,0,0,10,Legendary
55,Diablo 10,Diablo,Trevino PLC,"White, Wall and Williams",AA,3.4,11.07,2011-03-14,2011,Horror,E10+,Decima,39.99,25.84,82,8.1,81,9.32,522.95,1962925,6.9,15.2,64.6,8,8,0,0,0,0,0,Hit
56,Terraria 20,Terraria,Howell LLC,Hamilton-Jackson,AA,2.0,19.3,2003-07-12,2003,Racing,E10+,Godot,39.99,38.67,68,7.0,70,4.03,231.22,799832,4.2,13.7,41.7,4,8,0,0,0,0,8,Average
57,Cyberpunk 12,Cyberpunk,Thompson-Dalton,Rivera Ltd,Indie,1.9,1.57,2002-10-19,2002,FPS,M,Anvil,24.99,13.35,72,7.2,68,1.41,46.34,307516,7.0,19.8,25.9,4,8,0,0,0,0,5,Average
58,Cyberpunk 6,Cyberpunk,Gonzalez-Fry,Garza Inc,AAA,4.2,347.29,2003-06-07,2003,Action,M,Creation Engine,59.99,58.81,79,8.0,77,27.13,1860.54,3773740,9.7,32.2,83.7,4,8,0,0,0,0,0,Blockbuster
59,Terraria 14,Terraria,Chavez Ltd,Jenkins-Rios,AAA,4.7,53.45,2012-05-19,2012,RPG,E10+,Godot,59.99,31.96,99,9.9,99,42.57,2856.5,9455172,31.4,133.1,101.3,8,8,0,0,1,5,9,Legendary
60,Terraria 12,Terraria,"Andrews, Holt and Perry","Greer, Monroe and Meyers",AA,3.9,14.96,2016-11-02,2016,Sandbox,E,Unreal Engine 5,49.99,30.79,77,7.5,81,6.55,382.5,1398672,17.4,238.6,67.4,16,16,0,0,0,0,4,Hit
61,Civilization 12,Civilization,Hall-Thompson,"Webb, Hernandez and White",AAA,3.9,117.49,2002-09-10,2002,Horror,E,Decima,59.99,41.51,77,8.0,72,32.36,2450.92,6881653,6.1,15.9,77.4,4,8,0,0,0,0,4,Blockbuster
62,Far Cry 3,Far Cry,"Davenport, Edwards and Williams","Bennett, Acevedo and Stewart",Indie,1.3,0.77,2021-08-12,2021,RPG,M,Unreal Engine 4,19.99,4.99,90,8.7,86,2.73,99.07,455410,40.5,128.5,65.2,8,16,0,0,0,2,4,Average
63,Final Fantasy 14,Final Fantasy,Hughes-Castillo,Bond PLC,AAA,6.2,346.54,2001-05-02,2001,Action,E,RE Engine,59.99,41.66,79,7.5,74,37.46,2554.75,7399062,14.4,32.2,75.3,4,8,0,0,0,0,8,Blockbuster
64,Battlefield 7,Battlefield,Anderson-Nichols,Terry-Sullivan,Indie,2.6,4.43,1995-04-18,1995,Adventure,E,RE Engine,9.99,4.99,65,6.4,65,1.18,27.51,190224,10.2,41.5,9.2,4,8,0,0,0,0,4,Average
65,Battlefield 3,Battlefield,Mendoza-Baker,Russell-Lara,AA,2.6,13.21,1995-08-27,1995,FPS,T,RAGE,29.99,8.37,65,6.4,68,3.9,169.73,844658,6.1,21.1,34.3,4,8,0,0,0,0,2,Average
66,Battlefield 3,Battlefield,Perez and Sons,Horn Inc,AAA,2.9,127.56,2016-05-21,2016,Strategy,E10+,Unreal Engine 5,59.99,32.21,89,9.1,91,43.94,2902.32,6413506,21.1,83.9,104.0,16,16,0,0,0,2,8,Legendary
67,Resident Evil 5,Resident Evil,"Rojas, Brown and Coleman",Chan-Hart,AAA,1.4,40.91,1992-10-17,1992,Simulation,T,Creation Engine,59.99,32.08,77,7.7,80,36.32,2666.64,6491080,11.4,52.4,57.1,4,8,0,0,0,0,3,Blockbuster
